Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","173.181.140.63","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","","The remote web server type is :

cisco-IOS"
"10267","","","None","173.181.140.63","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-1.99-Cisco-1.25
SSH supported authentication : publickey,keyboard-interactive,password
SSH banner : 
Authorized access only!
 Disconnect IMMEDIATELY if you are not an authorized user!
"
"10281","","","None","173.181.140.63","tcp","6073","Telnet Server Detection","A Telnet server is listening on the remote port.","The remote host is running a Telnet server, a remote terminal
server.","Disable this service if you do not use it.","","Here is the banner from the remote Telnet server :

------------------------------ snip ------------------------------

btmodem login: 
------------------------------ snip ------------------------------
"
"10281","","","None","173.181.140.63","tcp","23","Telnet Server Detection","A Telnet server is listening on the remote port.","The remote host is running a Telnet server, a remote terminal
server.","Disable this service if you do not use it.","","Here is the banner from the remote Telnet server :

------------------------------ snip ------------------------------
Authorized access only!
 Disconnect IMMEDIATELY if you are not an authorized user!

User Access Verification

Username: 
------------------------------ snip ------------------------------
"
"10863","","","None","173.181.140.63","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: IOS-Self-Signed-Certificate-3100013440

Issuer Name: 

Common Name: IOS-Self-Signed-Certificate-3100013440

Serial Number: 01 

Version: 3

Signature Algorithm: MD5 With RSA Encryption

Not Valid Before: Apr 11 21:02:18 2013 GMT
Not Valid After: Jan 01 00:00:00 2020 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 B4 67 0C 60 E7 90 5E 86 A3 47 6F C4 D2 10 C8 9F 03 1A 2A 
            1C 8C 35 8A FE 79 27 62 7C E0 DE 8A BA F3 10 7A 63 9A DA 62 
            31 C9 2B 87 6C 62 8D E8 B4 B0 19 86 48 3D 15 84 74 BD D5 4A 
            1A CF 63 22 BC 8D 42 54 D0 BB 73 95 AD BE 5B 69 1B FB 8F DF 
            A5 65 CC AF 6C 0E 17 64 AB CF 6D CB 89 5F AA 07 75 28 27 90 
            9C E7 67 3A 9F D4 2A 67 83 FC AA EA 1A AC F8 BA BF 2F 7E ED 
            A2 5C 19 19 51 28 EF B1 87 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 1E 42 CC 1F B2 CE 5F 24 83 39 BF 62 6F 15 01 19 A1 BD 1B 
           5A 30 41 E9 92 EC 1B 7F 96 18 48 53 AB 2A E1 BE 06 E9 33 09 
           35 22 3D 4D CD 7D CB C9 2C 9C CD E2 DA 42 34 48 01 1D 0D BE 
           F1 2D 07 41 87 5A 23 B4 6C 71 BA 63 67 FB 1D 5B 04 CE 5E CB 
           42 65 CC 5A CD C8 75 5C 76 B7 D3 F4 A1 91 30 86 D8 C2 20 E3 
           B8 9D 6E 72 04 B9 D4 0B 97 C2 3C 27 31 81 9F A0 EE 2A D6 1F 
           CE 5C 1C 87 3B C8 59 E1 F0 

Extension: Basic Constraints (2.5.29.19)
Critical: 1
CA: TRUE


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: Cayley.calyley.ca


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: DF A1 AE 6A 49 17 B6 31 F6 D2 CE A2 C7 E5 99 A4 75 DE 51 B4 


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: DF A1 AE 6A 49 17 B6 31 F6 D2 CE A2 C7 E5 99 A4 75 DE 51 B4 


Fingerprints : 

SHA-256 Fingerprint: D4 66 20 C8 1A 17 8A 96 84 63 DC 1E 48 A9 9A 4F 19 60 AA 12 
                     6F BC 8A 93 7A C6 7A 61 69 71 F4 6F 
SHA-1 Fingerprint: 34 F9 DA 8E B3 60 AF 49 F0 FE 20 3C 0C 61 B3 2F 3F 85 90 2A 
MD5 Fingerprint: 22 69 1A C2 9E 87 32 2F 12 94 6F DB 5D FC 67 38 

"
"10881","","","None","173.181.140.63","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.5
  - 1.99
  - 2.0


SSHv1 host key fingerprint : 23:b1:2e:82:38:1d:72:87:45:5f:74:b2:73:00:f0:bd
"
"10882","CVE-2001-0361","4.0","Medium","173.181.140.63","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the protocol.","",""
"10882","CVE-2001-0572","4.0","Medium","173.181.140.63","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the protocol.","",""
"10882","CVE-2001-1473","4.0","Medium","173.181.140.63","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the protocol.","",""
"11154","","","None","173.181.140.63","tcp","6070","Unknown Service Detection: Banner Retrieval","There is an unknown service running on the remote host.","Nessus was unable to identify a service on the remote host even though
it returned a banner of some type.","n/a","","
If you know what this service is and think the banner could be used to
identify it, please send a description of the service along with the
following output to svc-signatures@nessus.org :

  Port   : 6070
  Type   : spontaneous
  Banner : 
0x00:  57 65 6C 63 6F 6D 65 20 74 6F 20 42 6C 75 65 54    Welcome to BlueT
           0x10:  72 65 65 20 57 69 72 65 6C 65 73 73 20 42 54 20    ree Wireless BT 
           0x20:  6D 6F 64 65 6D 20 35 32 2E 33 36 2E 31 33 38 2E    modem 52.36.138.
           0x30:  31 31 36 0D 0A                                     116..           
           
"
