"Source","InstalledOn","Description","InstalledBy"
"Server0","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server0","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server0","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server0","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server0","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server0","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server0","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server2","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server2","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server2","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server2","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server2","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server6","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server6","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server6","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server6","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server6","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server6","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server6","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server9","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server9","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server9","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server10","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server10","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server10","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server10","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server10","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server10","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server11","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server11","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server11","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server11","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server11","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server11","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server14","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server14","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server14","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server15","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server16","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server16","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server18","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server19","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server19","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server19","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server19","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server19","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server19","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server22","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server22","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server24","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server24","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server24","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server24","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server24","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server25","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server25","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server25","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server26","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server26","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server26","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server26","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server26","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server26","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server26","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server27","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server27","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server27","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server29","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server29","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server31","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server32","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server32","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server39","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server39","12/28/2019 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
