"Source","InstalledOn","HotFixID","Description","InstalledBy"
"Server1","11/9/2019 12:00:00 AM","MSKB8706753","Security Update","NT AUTHORITY\SYSTEM"
"Server1","11/9/2019 12:00:00 AM","MSKB9533278","Update","NT AUTHORITY\SYSTEM"
"Server1","11/9/2019 12:00:00 AM","MSKB9019442","Security Update","NT AUTHORITY\SYSTEM"
"Server2","11/9/2019 12:00:00 AM","MSKB7237613","Update","NT AUTHORITY\SYSTEM"
"Server5","11/9/2019 12:00:00 AM","MSKB7194263","Security Update","NT AUTHORITY\SYSTEM"
"Server5","11/9/2019 12:00:00 AM","MSKB3778729","Update","NT AUTHORITY\SYSTEM"
"Server6","11/9/2019 12:00:00 AM","MSKB2189370","Update","NT AUTHORITY\SYSTEM"
"Server8","11/9/2019 12:00:00 AM","MSKB7067516","Update","NT AUTHORITY\SYSTEM"
"Server8","11/9/2019 12:00:00 AM","MSKB4824405","Security Update","NT AUTHORITY\SYSTEM"
"Server9","11/9/2019 12:00:00 AM","MSKB7654225","Update","NT AUTHORITY\SYSTEM"
"Server9","11/9/2019 12:00:00 AM","MSKB9284252","Update","NT AUTHORITY\SYSTEM"
"Server10","11/9/2019 12:00:00 AM","MSKB2150061","Security Update","NT AUTHORITY\SYSTEM"
"Server10","11/9/2019 12:00:00 AM","MSKB8673828","Security Update","NT AUTHORITY\SYSTEM"
"Server10","11/9/2019 12:00:00 AM","MSKB6857604","Update","NT AUTHORITY\SYSTEM"
"Server10","11/9/2019 12:00:00 AM","MSKB5164181","Update","NT AUTHORITY\SYSTEM"
"Server12","11/9/2019 12:00:00 AM","MSKB1378815","Update","NT AUTHORITY\SYSTEM"
"Server12","11/9/2019 12:00:00 AM","MSKB8004843","Security Update","NT AUTHORITY\SYSTEM"
"Server13","11/9/2019 12:00:00 AM","MSKB3302885","Update","NT AUTHORITY\SYSTEM"
"Server13","11/9/2019 12:00:00 AM","MSKB7357810","Security Update","NT AUTHORITY\SYSTEM"
"Server13","11/9/2019 12:00:00 AM","MSKB4645376","Security Update","NT AUTHORITY\SYSTEM"
"Server14","11/9/2019 12:00:00 AM","MSKB7542792","Security Update","NT AUTHORITY\SYSTEM"
"Server15","11/9/2019 12:00:00 AM","MSKB2897506","Update","NT AUTHORITY\SYSTEM"
"Server15","11/9/2019 12:00:00 AM","MSKB6578374","Update","NT AUTHORITY\SYSTEM"
"Server16","11/9/2019 12:00:00 AM","MSKB8941983","Security Update","NT AUTHORITY\SYSTEM"
"Server17","11/9/2019 12:00:00 AM","MSKB6241220","Security Update","NT AUTHORITY\SYSTEM"
"Server17","11/9/2019 12:00:00 AM","MSKB3072272","Security Update","NT AUTHORITY\SYSTEM"
"Server18","11/9/2019 12:00:00 AM","MSKB4600084","Update","NT AUTHORITY\SYSTEM"
"Server19","11/9/2019 12:00:00 AM","MSKB1972122","Security Update","NT AUTHORITY\SYSTEM"
"Server19","11/9/2019 12:00:00 AM","MSKB6724998","Security Update","NT AUTHORITY\SYSTEM"
"Server20","11/9/2019 12:00:00 AM","MSKB5484602","Update","NT AUTHORITY\SYSTEM"
"Server20","11/9/2019 12:00:00 AM","MSKB6042299","Update","NT AUTHORITY\SYSTEM"
