"Source","DateOffset","HotFixID","Description","InstalledBy"
"Server0","-362","MSKB3166786","Update","NT AUTHORITY\SYSTEM"
"Server0","-362","MSKB7931209","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-362","MSKB8349478","Update","NT AUTHORITY\SYSTEM"
"Server0","-362","MSKB2882996","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-362","MSKB9909917","Update","NT AUTHORITY\SYSTEM"
"Server0","-362","MSKB4171066","Update","NT AUTHORITY\SYSTEM"
"Server0","-362","MSKB7322885","Update","NT AUTHORITY\SYSTEM"
"Server1","-362","MSKB7301356","Update","NT AUTHORITY\SYSTEM"
"Server1","-362","MSKB6216496","Security Update","NT AUTHORITY\SYSTEM"
"Server1","-362","MSKB9078770","Update","NT AUTHORITY\SYSTEM"
"Server1","-362","MSKB2011510","Security Update","NT AUTHORITY\SYSTEM"
"Server1","-362","MSKB2492966","Security Update","NT AUTHORITY\SYSTEM"
"Server1","-362","MSKB3893691","Update","NT AUTHORITY\SYSTEM"
"Server1","-362","MSKB7857837","Update","NT AUTHORITY\SYSTEM"
"Server2","-362","MSKB7757667","Update","NT AUTHORITY\SYSTEM"
"Server2","-362","MSKB8607516","Security Update","NT AUTHORITY\SYSTEM"
"Server2","-362","MSKB8165964","Update","NT AUTHORITY\SYSTEM"
"Server2","-362","MSKB3091201","Security Update","NT AUTHORITY\SYSTEM"
"Server2","-362","MSKB4305719","Update","NT AUTHORITY\SYSTEM"
"Server4","-362","MSKB9913247","Update","NT AUTHORITY\SYSTEM"
"Server4","-362","MSKB3085750","Update","NT AUTHORITY\SYSTEM"
"Server4","-362","MSKB2660449","Security Update","NT AUTHORITY\SYSTEM"
"Server4","-362","MSKB2414852","Security Update","NT AUTHORITY\SYSTEM"
"Server4","-362","MSKB9659866","Update","NT AUTHORITY\SYSTEM"
"Server4","-362","MSKB9104134","Update","NT AUTHORITY\SYSTEM"
"Server6","-362","MSKB3852194","Security Update","NT AUTHORITY\SYSTEM"
"Server6","-362","MSKB5330531","Update","NT AUTHORITY\SYSTEM"
"Server6","-362","MSKB3349747","Update","NT AUTHORITY\SYSTEM"
"Server6","-362","MSKB1236838","Security Update","NT AUTHORITY\SYSTEM"
"Server6","-362","MSKB8620185","Update","NT AUTHORITY\SYSTEM"
"Server6","-362","MSKB5452061","Security Update","NT AUTHORITY\SYSTEM"
"Server6","-362","MSKB9071798","Security Update","NT AUTHORITY\SYSTEM"
"Server9","-362","MSKB4855783","Update","NT AUTHORITY\SYSTEM"
"Server9","-362","MSKB3391274","Security Update","NT AUTHORITY\SYSTEM"
"Server9","-362","MSKB5492034","Update","NT AUTHORITY\SYSTEM"
"Server10","-362","MSKB5912794","Update","NT AUTHORITY\SYSTEM"
"Server10","-362","MSKB3190105","Security Update","NT AUTHORITY\SYSTEM"
"Server10","-362","MSKB7845402","Update","NT AUTHORITY\SYSTEM"
"Server10","-362","MSKB7891646","Security Update","NT AUTHORITY\SYSTEM"
"Server10","-362","MSKB4661067","Update","NT AUTHORITY\SYSTEM"
"Server10","-362","MSKB4636582","Security Update","NT AUTHORITY\SYSTEM"
"Server11","-362","MSKB7704556","Security Update","NT AUTHORITY\SYSTEM"
"Server11","-362","MSKB6880048","Update","NT AUTHORITY\SYSTEM"
"Server11","-362","MSKB9975621","Update","NT AUTHORITY\SYSTEM"
"Server11","-362","MSKB3524526","Security Update","NT AUTHORITY\SYSTEM"
"Server11","-362","MSKB7081967","Security Update","NT AUTHORITY\SYSTEM"
"Server11","-362","MSKB5872186","Security Update","NT AUTHORITY\SYSTEM"
"Server14","-362","MSKB6858820","Security Update","NT AUTHORITY\SYSTEM"
"Server14","-362","MSKB2508050","Security Update","NT AUTHORITY\SYSTEM"
"Server14","-362","MSKB5329447","Security Update","NT AUTHORITY\SYSTEM"
"Server15","-362","MSKB2212888","Security Update","NT AUTHORITY\SYSTEM"
"Server16","-362","MSKB7130230","Security Update","NT AUTHORITY\SYSTEM"
