"ServerName","DateOffset","Risk","Count"
"Server0",-91,"none",197
"Server0",-91,"low",16
"Server0",-91,"medium",66
"Server0",-91,"high",33
"Server0",-91,"critical",16
"Server0",-91,"total",329
"Server1",-91,"none",156
"Server1",-91,"low",13
"Server1",-91,"medium",52
"Server1",-91,"high",26
"Server1",-91,"critical",13
"Server1",-91,"total",260
"Server2",-91,"none",130
"Server2",-91,"low",11
"Server2",-91,"medium",43
"Server2",-91,"high",22
"Server2",-91,"critical",11
"Server2",-91,"total",216
"Server3",-91,"none",178
"Server3",-91,"low",15
"Server3",-91,"medium",59
"Server3",-91,"high",30
"Server3",-91,"critical",15
"Server3",-91,"total",296
"Server4",-91,"none",190
"Server4",-91,"low",16
"Server4",-91,"medium",63
"Server4",-91,"high",32
"Server4",-91,"critical",16
"Server4",-91,"total",317
"Server5",-91,"none",152
"Server5",-91,"low",13
"Server5",-91,"medium",51
"Server5",-91,"high",25
"Server5",-91,"critical",13
"Server5",-91,"total",253
"Server6",-91,"none",100
"Server6",-91,"low",8
"Server6",-91,"medium",33
"Server6",-91,"high",17
"Server6",-91,"critical",8
"Server6",-91,"total",166
"Server7",-91,"none",157
"Server7",-91,"low",13
"Server7",-91,"medium",52
"Server7",-91,"high",26
"Server7",-91,"critical",13
"Server7",-91,"total",261
"Server8",-91,"none",211
"Server8",-91,"low",18
"Server8",-91,"medium",70
"Server8",-91,"high",35
"Server8",-91,"critical",18
"Server8",-91,"total",351
"Server9",-91,"none",110
"Server9",-91,"low",9
"Server9",-91,"medium",37
"Server9",-91,"high",18
"Server9",-91,"critical",9
"Server9",-91,"total",183
"Server10",-91,"none",111
"Server10",-91,"low",9
"Server10",-91,"medium",37
"Server10",-91,"high",18
"Server10",-91,"critical",9
"Server10",-91,"total",185
"Server11",-91,"none",149
"Server11",-91,"low",12
"Server11",-91,"medium",50
"Server11",-91,"high",25
"Server11",-91,"critical",12
"Server11",-91,"total",248
"Server12",-91,"none",160
"Server12",-91,"low",13
"Server12",-91,"medium",53
"Server12",-91,"high",27
"Server12",-91,"critical",13
"Server12",-91,"total",267
"Server13",-91,"none",142
"Server13",-91,"low",12
"Server13",-91,"medium",47
"Server13",-91,"high",24
"Server13",-91,"critical",12
"Server13",-91,"total",237
"Server14",-91,"none",115
"Server14",-91,"low",10
"Server14",-91,"medium",38
"Server14",-91,"high",19
"Server14",-91,"critical",10
"Server14",-91,"total",192
"Server15",-91,"none",155
"Server15",-91,"low",13
"Server15",-91,"medium",52
"Server15",-91,"high",26
"Server15",-91,"critical",13
"Server15",-91,"total",258
"Server16",-91,"none",148
"Server16",-91,"low",12
"Server16",-91,"medium",49
"Server16",-91,"high",25
"Server16",-91,"critical",12
"Server16",-91,"total",247
"Server17",-91,"none",96
"Server17",-91,"low",8
"Server17",-91,"medium",32
"Server17",-91,"high",16
"Server17",-91,"critical",8
"Server17",-91,"total",160
"Server18",-91,"none",186
"Server18",-91,"low",16
"Server18",-91,"medium",62
"Server18",-91,"high",31
"Server18",-91,"critical",16
"Server18",-91,"total",310
"Server19",-91,"none",219
"Server19",-91,"low",18
"Server19",-91,"medium",73
"Server19",-91,"high",36
"Server19",-91,"critical",18
"Server19",-91,"total",365
"Server20",-91,"none",127
"Server20",-91,"low",11
"Server20",-91,"medium",42
"Server20",-91,"high",21
"Server20",-91,"critical",11
"Server20",-91,"total",212
"Server21",-91,"none",135
"Server21",-91,"low",11
"Server21",-91,"medium",45
"Server21",-91,"high",22
"Server21",-91,"critical",11
"Server21",-91,"total",225
"Server22",-91,"none",158
"Server22",-91,"low",13
"Server22",-91,"medium",53
"Server22",-91,"high",26
"Server22",-91,"critical",13
"Server22",-91,"total",264
"Server23",-91,"none",168
"Server23",-91,"low",14
"Server23",-91,"medium",56
"Server23",-91,"high",28
"Server23",-91,"critical",14
"Server23",-91,"total",280
"Server24",-91,"none",137
"Server24",-91,"low",11
"Server24",-91,"medium",46
"Server24",-91,"high",23
"Server24",-91,"critical",11
"Server24",-91,"total",228
"Server25",-91,"none",151
"Server25",-91,"low",13
"Server25",-91,"medium",50
"Server25",-91,"high",25
"Server25",-91,"critical",13
"Server25",-91,"total",252
"Server26",-91,"none",196
"Server26",-91,"low",16
"Server26",-91,"medium",65
"Server26",-91,"high",33
"Server26",-91,"critical",16
"Server26",-91,"total",326
"Server27",-91,"none",126
"Server27",-91,"low",10
"Server27",-91,"medium",42
"Server27",-91,"high",21
"Server27",-91,"critical",10
"Server27",-91,"total",210
"Server28",-91,"none",134
"Server28",-91,"low",11
"Server28",-91,"medium",45
"Server28",-91,"high",22
"Server28",-91,"critical",11
"Server28",-91,"total",224
"Server29",-91,"none",136
"Server29",-91,"low",11
"Server29",-91,"medium",45
"Server29",-91,"high",23
"Server29",-91,"critical",11
"Server29",-91,"total",226
"Server30",-91,"none",142
"Server30",-91,"low",12
"Server30",-91,"medium",47
"Server30",-91,"high",24
"Server30",-91,"critical",12
"Server30",-91,"total",236
"Server31",-91,"none",195
"Server31",-91,"low",16
"Server31",-91,"medium",65
"Server31",-91,"high",32
"Server31",-91,"critical",16
"Server31",-91,"total",325
"Server32",-91,"none",200
"Server32",-91,"low",17
"Server32",-91,"medium",67
"Server32",-91,"high",33
"Server32",-91,"critical",17
"Server32",-91,"total",333
"Server33",-91,"none",148
"Server33",-91,"low",12
"Server33",-91,"medium",49
"Server33",-91,"high",25
"Server33",-91,"critical",12
"Server33",-91,"total",246
"Server34",-91,"none",164
"Server34",-91,"low",14
"Server34",-91,"medium",55
"Server34",-91,"high",27
"Server34",-91,"critical",14
"Server34",-91,"total",273
"Server35",-91,"none",128
"Server35",-91,"low",11
"Server35",-91,"medium",43
"Server35",-91,"high",21
"Server35",-91,"critical",11
"Server35",-91,"total",214
"Server36",-91,"none",143
"Server36",-91,"low",12
"Server36",-91,"medium",48
"Server36",-91,"high",24
"Server36",-91,"critical",12
"Server36",-91,"total",239
"Server37",-91,"none",110
"Server37",-91,"low",9
"Server37",-91,"medium",37
"Server37",-91,"high",18
"Server37",-91,"critical",9
"Server37",-91,"total",183
"Server38",-91,"none",158
"Server38",-91,"low",13
"Server38",-91,"medium",53
"Server38",-91,"high",26
"Server38",-91,"critical",13
"Server38",-91,"total",263
"Server39",-91,"none",149
"Server39",-91,"low",12
"Server39",-91,"medium",50
"Server39",-91,"high",25
"Server39",-91,"critical",12
"Server39",-91,"total",249
"Server40",-91,"none",209
"Server40",-91,"low",17
"Server40",-91,"medium",70
"Server40",-91,"high",35
"Server40",-91,"critical",17
"Server40",-91,"total",348
"Server41",-91,"none",193
"Server41",-91,"low",16
"Server41",-91,"medium",64
"Server41",-91,"high",32
"Server41",-91,"critical",16
"Server41",-91,"total",321
"Server42",-91,"none",163
"Server42",-91,"low",14
"Server42",-91,"medium",54
"Server42",-91,"high",27
"Server42",-91,"critical",14
"Server42",-91,"total",271
"Server43",-91,"none",117
