"ServerName","Date","PatchAge"
"Server0","1/4/2020 12:00:00 AM","0"
"Server1","1/4/2020 12:00:00 AM","1"
"Server2","1/4/2020 12:00:00 AM","0"
"Server3","1/4/2020 12:00:00 AM","0"
"Server4","1/4/2020 12:00:00 AM","0"
"Server5","1/4/2020 12:00:00 AM","0"
"Server6","1/4/2020 12:00:00 AM","0"
"Server7","1/4/2020 12:00:00 AM","0"
"Server8","1/4/2020 12:00:00 AM","0"
"Server9","1/4/2020 12:00:00 AM","0"
"Server10","1/4/2020 12:00:00 AM","0"
"Server11","1/4/2020 12:00:00 AM","1"
"Server12","1/4/2020 12:00:00 AM","0"
"Server13","1/4/2020 12:00:00 AM","0"
"Server14","1/4/2020 12:00:00 AM","0"
"Server15","1/4/2020 12:00:00 AM","0"
"Server16","1/4/2020 12:00:00 AM","0"
"Server17","1/4/2020 12:00:00 AM","0"
"Server18","1/4/2020 12:00:00 AM","0"
"Server19","1/4/2020 12:00:00 AM","0"
"Server20","1/4/2020 12:00:00 AM","0"
"Server21","1/4/2020 12:00:00 AM","0"
"Server22","1/4/2020 12:00:00 AM","0"
"Server23","1/4/2020 12:00:00 AM","1"
"Server24","1/4/2020 12:00:00 AM","0"
"Server25","1/4/2020 12:00:00 AM","0"
"Server26","1/4/2020 12:00:00 AM","1"
"Server27","1/4/2020 12:00:00 AM","1"
"Server28","1/4/2020 12:00:00 AM","1"
"Server29","1/4/2020 12:00:00 AM","1"
"Server30","1/4/2020 12:00:00 AM","0"
"Server31","1/4/2020 12:00:00 AM","0"
"Server32","1/4/2020 12:00:00 AM","1"
"Server33","1/4/2020 12:00:00 AM","0"
"Server34","1/4/2020 12:00:00 AM","0"
"Server35","1/4/2020 12:00:00 AM","1"
"Server36","1/4/2020 12:00:00 AM","0"
"Server37","1/4/2020 12:00:00 AM","1"
"Server38","1/4/2020 12:00:00 AM","1"
"Server39","1/4/2020 12:00:00 AM","0"
"Server40","1/4/2020 12:00:00 AM","0"
"Server41","1/4/2020 12:00:00 AM","1"
"Server42","1/4/2020 12:00:00 AM","0"
"Server43","1/4/2020 12:00:00 AM","0"
"Server44","1/4/2020 12:00:00 AM","0"
"Server45","1/4/2020 12:00:00 AM","1"
"Server46","1/4/2020 12:00:00 AM","0"
"Server47","1/4/2020 12:00:00 AM","1"
"Server48","1/4/2020 12:00:00 AM","0"
"Server49","1/4/2020 12:00:00 AM","0"
"Server50","1/4/2020 12:00:00 AM","0"
"Server51","1/4/2020 12:00:00 AM","0"
"Server52","1/4/2020 12:00:00 AM","0"
"Server53","1/4/2020 12:00:00 AM","1"
"Server54","1/4/2020 12:00:00 AM","0"
"Server55","1/4/2020 12:00:00 AM","1"
"Server56","1/4/2020 12:00:00 AM","0"
"Server57","1/4/2020 12:00:00 AM","0"
"Server58","1/4/2020 12:00:00 AM","0"
"Server59","1/4/2020 12:00:00 AM","0"
"Server60","1/4/2020 12:00:00 AM","0"
"Server61","1/4/2020 12:00:00 AM","0"
"Server62","1/4/2020 12:00:00 AM","0"
"Server63","1/4/2020 12:00:00 AM","0"
"Server64","1/4/2020 12:00:00 AM","0"
"Server65","1/4/2020 12:00:00 AM","1"
"Server66","1/4/2020 12:00:00 AM","0"
"Server67","1/4/2020 12:00:00 AM","0"
"Server68","1/4/2020 12:00:00 AM","0"
"Server69","1/4/2020 12:00:00 AM","1"
"Server70","1/4/2020 12:00:00 AM","0"
"Server71","1/4/2020 12:00:00 AM","0"
"Server72","1/4/2020 12:00:00 AM","0"
"Server73","1/4/2020 12:00:00 AM","0"
"Server74","1/4/2020 12:00:00 AM","0"
"Server75","1/4/2020 12:00:00 AM","1"
"Server76","1/4/2020 12:00:00 AM","0"
"Server77","1/4/2020 12:00:00 AM","0"
"Server78","1/4/2020 12:00:00 AM","0"
"Server79","1/4/2020 12:00:00 AM","0"
"Server80","1/4/2020 12:00:00 AM","1"
"Server81","1/4/2020 12:00:00 AM","0"
"Server82","1/4/2020 12:00:00 AM","0"
"Server83","1/4/2020 12:00:00 AM","0"
"Server84","1/4/2020 12:00:00 AM","0"
"Server85","1/4/2020 12:00:00 AM","0"
"Server86","1/4/2020 12:00:00 AM","1"
"Server87","1/4/2020 12:00:00 AM","1"
"Server88","1/4/2020 12:00:00 AM","0"
"Server89","1/4/2020 12:00:00 AM","0"
"Server90","1/4/2020 12:00:00 AM","0"
"Server91","1/4/2020 12:00:00 AM","0"
"Server92","1/4/2020 12:00:00 AM","0"
"Server93","1/4/2020 12:00:00 AM","0"
"Server94","1/4/2020 12:00:00 AM","0"
"Server95","1/4/2020 12:00:00 AM","0"
"Server96","1/4/2020 12:00:00 AM","0"
"Server97","1/4/2020 12:00:00 AM","0"
"Server98","1/4/2020 12:00:00 AM","0"
"Server99","1/4/2020 12:00:00 AM","0"
"Server0","1/5/2020 12:00:00 AM","1"
"Server1","1/5/2020 12:00:00 AM","2"
"Server2","1/5/2020 12:00:00 AM","1"
"Server3","1/5/2020 12:00:00 AM","1"
"Server4","1/5/2020 12:00:00 AM","1"
"Server5","1/5/2020 12:00:00 AM","1"
"Server6","1/5/2020 12:00:00 AM","1"
"Server7","1/5/2020 12:00:00 AM","1"
"Server8","1/5/2020 12:00:00 AM","1"
"Server9","1/5/2020 12:00:00 AM","1"
"Server10","1/5/2020 12:00:00 AM","1"
"Server11","1/5/2020 12:00:00 AM","2"
"Server12","1/5/2020 12:00:00 AM","1"
"Server13","1/5/2020 12:00:00 AM","1"
"Server14","1/5/2020 12:00:00 AM","1"
"Server15","1/5/2020 12:00:00 AM","1"
"Server16","1/5/2020 12:00:00 AM","1"
"Server17","1/5/2020 12:00:00 AM","1"
"Server18","1/5/2020 12:00:00 AM","1"
"Server19","1/5/2020 12:00:00 AM","1"
"Server20","1/5/2020 12:00:00 AM","1"
"Server21","1/5/2020 12:00:00 AM","1"
"Server22","1/5/2020 12:00:00 AM","1"
"Server23","1/5/2020 12:00:00 AM","2"
"Server24","1/5/2020 12:00:00 AM","1"
"Server25","1/5/2020 12:00:00 AM","1"
"Server26","1/5/2020 12:00:00 AM","2"
"Server27","1/5/2020 12:00:00 AM","2"
"Server28","1/5/2020 12:00:00 AM","2"
"Server29","1/5/2020 12:00:00 AM","2"
"Server30","1/5/2020 12:00:00 AM","1"
"Server31","1/5/2020 12:00:00 AM","1"
"Server32","1/5/2020 12:00:00 AM","2"
"Server33","1/5/2020 12:00:00 AM","1"
"Server34","1/5/2020 12:00:00 AM","1"
"Server35","1/5/2020 12:00:00 AM","2"
"Server36","1/5/2020 12:00:00 AM","1"
"Server37","1/5/2020 12:00:00 AM","2"
"Server38","1/5/2020 12:00:00 AM","2"
"Server39","1/5/2020 12:00:00 AM","1"
"Server40","1/5/2020 12:00:00 AM","1"
"Server41","1/5/2020 12:00:00 AM","2"
"Server42","1/5/2020 12:00:00 AM","1"
"Server43","1/5/2020 12:00:00 AM","1"
"Server44","1/5/2020 12:00:00 AM","1"
"Server45","1/5/2020 12:00:00 AM","2"
"Server46","1/5/2020 12:00:00 AM","1"
"Server47","1/5/2020 12:00:00 AM","2"
"Server48","1/5/2020 12:00:00 AM","1"
"Server49","1/5/2020 12:00:00 AM","1"
"Server50","1/5/2020 12:00:00 AM","1"
"Server51","1/5/2020 12:00:00 AM","1"
"Server52","1/5/2020 12:00:00 AM","1"
"Server53","1/5/2020 12:00:00 AM","2"
"Server54","1/5/2020 12:00:00 AM","1"
"Server55","1/5/2020 12:00:00 AM","2"
"Server56","1/5/2020 12:00:00 AM","1"
"Server57","1/5/2020 12:00:00 AM","1"
"Server58","1/5/2020 12:00:00 AM","1"
"Server59","1/5/2020 12:00:00 AM","1"
"Server60","1/5/2020 12:00:00 AM","1"
"Server61","1/5/2020 12:00:00 AM","1"
"Server62","1/5/2020 12:00:00 AM","1"
"Server63","1/5/2020 12:00:00 AM","1"
"Server64","1/5/2020 12:00:00 AM","1"
"Server65","1/5/2020 12:00:00 AM","2"
"Server66","1/5/2020 12:00:00 AM","1"
"Server67","1/5/2020 12:00:00 AM","1"
"Server68","1/5/2020 12:00:00 AM","1"
"Server69","1/5/2020 12:00:00 AM","2"
"Server70","1/5/2020 12:00:00 AM","1"
"Server71","1/5/2020 12:00:00 AM","1"
"Server72","1/5/2020 12:00:00 AM","1"
"Server73","1/5/2020 12:00:00 AM","1"
"Server74","1/5/2020 12:00:00 AM","1"
"Server75","1/5/2020 12:00:00 AM","2"
"Server76","1/5/2020 12:00:00 AM","1"
"Server77","1/5/2020 12:00:00 AM","1"
"Server78","1/5/2020 12:00:00 AM","1"
"Server79","1/5/2020 12:00:00 AM","1"
"Server80","1/5/2020 12:00:00 AM","2"
"Server81","1/5/2020 12:00:00 AM","1"
"Server82","1/5/2020 12:00:00 AM","1"
"Server83","1/5/2020 12:00:00 AM","1"
"Server84","1/5/2020 12:00:00 AM","1"
"Server85","1/5/2020 12:00:00 AM","1"
"Server86","1/5/2020 12:00:00 AM","2"
"Server87","1/5/2020 12:00:00 AM","2"
"Server88","1/5/2020 12:00:00 AM","1"
"Server89","1/5/2020 12:00:00 AM","1"
"Server90","1/5/2020 12:00:00 AM","1"
"Server91","1/5/2020 12:00:00 AM","1"
"Server92","1/5/2020 12:00:00 AM","1"
"Server93","1/5/2020 12:00:00 AM","1"
"Server94","1/5/2020 12:00:00 AM","1"
"Server95","1/5/2020 12:00:00 AM","1"
"Server96","1/5/2020 12:00:00 AM","1"
"Server97","1/5/2020 12:00:00 AM","1"
"Server98","1/5/2020 12:00:00 AM","1"
"Server99","1/5/2020 12:00:00 AM","1"
"Server0","1/6/2020 12:00:00 AM","2"
"Server1","1/6/2020 12:00:00 AM","3"
"Server2","1/6/2020 12:00:00 AM","2"
"Server3","1/6/2020 12:00:00 AM","2"
"Server4","1/6/2020 12:00:00 AM","2"
"Server5","1/6/2020 12:00:00 AM","2"
"Server6","1/6/2020 12:00:00 AM","2"
"Server7","1/6/2020 12:00:00 AM","2"
"Server8","1/6/2020 12:00:00 AM","2"
"Server9","1/6/2020 12:00:00 AM","2"
"Server10","1/6/2020 12:00:00 AM","2"
"Server11","1/6/2020 12:00:00 AM","3"
"Server12","1/6/2020 12:00:00 AM","2"
"Server13","1/6/2020 12:00:00 AM","2"
"Server14","1/6/2020 12:00:00 AM","2"
"Server15","1/6/2020 12:00:00 AM","2"
"Server16","1/6/2020 12:00:00 AM","2"
"Server17","1/6/2020 12:00:00 AM","2"
"Server18","1/6/2020 12:00:00 AM","2"
"Server19","1/6/2020 12:00:00 AM","2"
"Server20","1/6/2020 12:00:00 AM","2"
"Server21","1/6/2020 12:00:00 AM","2"
"Server22","1/6/2020 12:00:00 AM","2"
"Server23","1/6/2020 12:00:00 AM","3"
"Server24","1/6/2020 12:00:00 AM","2"
"Server25","1/6/2020 12:00:00 AM","2"
"Server26","1/6/2020 12:00:00 AM","3"
"Server27","1/6/2020 12:00:00 AM","3"
"Server28","1/6/2020 12:00:00 AM","3"
"Server29","1/6/2020 12:00:00 AM","3"
"Server30","1/6/2020 12:00:00 AM","2"
"Server31","1/6/2020 12:00:00 AM","2"
"Server32","1/6/2020 12:00:00 AM","3"
"Server33","1/6/2020 12:00:00 AM","2"
"Server34","1/6/2020 12:00:00 AM","2"
"Server35","1/6/2020 12:00:00 AM","3"
"Server36","1/6/2020 12:00:00 AM","2"
"Server37","1/6/2020 12:00:00 AM","3"
"Server38","1/6/2020 12:00:00 AM","3"
"Server39","1/6/2020 12:00:00 AM","2"
"Server40","1/6/2020 12:00:00 AM","2"
"Server41","1/6/2020 12:00:00 AM","3"
"Server42","1/6/2020 12:00:00 AM","2"
"Server43","1/6/2020 12:00:00 AM","2"
"Server44","1/6/2020 12:00:00 AM","2"
"Server45","1/6/2020 12:00:00 AM","3"
"Server46","1/6/2020 12:00:00 AM","2"
"Server47","1/6/2020 12:00:00 AM","3"
"Server48","1/6/2020 12:00:00 AM","2"
"Server49","1/6/2020 12:00:00 AM","2"
"Server50","1/6/2020 12:00:00 AM","2"
"Server51","1/6/2020 12:00:00 AM","2"
"Server52","1/6/2020 12:00:00 AM","2"
"Server53","1/6/2020 12:00:00 AM","3"
"Server54","1/6/2020 12:00:00 AM","2"
"Server55","1/6/2020 12:00:00 AM","3"
