"ServerName","PatchAge","DateOffset"
"Server0","0","-364"
"Server1","1","-364"
"Server2","0","-364"
"Server3","0","-364"
"Server4","0","-364"
"Server5","0","-364"
"Server6","0","-364"
"Server7","0","-364"
"Server8","0","-364"
"Server9","0","-364"
"Server10","0","-364"
"Server11","1","-364"
"Server12","0","-364"
"Server13","0","-364"
"Server14","0","-364"
"Server15","0","-364"
"Server16","0","-364"
"Server17","0","-364"
"Server18","0","-364"
"Server19","0","-364"
"Server20","0","-364"
"Server21","0","-364"
"Server22","0","-364"
"Server23","1","-364"
"Server24","0","-364"
"Server25","0","-364"
"Server26","1","-364"
"Server27","1","-364"
"Server28","1","-364"
"Server29","1","-364"
"Server30","0","-364"
"Server31","0","-364"
"Server32","1","-364"
"Server33","0","-364"
"Server34","0","-364"
"Server35","1","-364"
"Server36","0","-364"
"Server37","1","-364"
"Server38","1","-364"
"Server39","0","-364"
"Server40","0","-364"
"Server41","1","-364"
"Server42","0","-364"
"Server43","0","-364"
"Server44","0","-364"
"Server45","1","-364"
"Server46","0","-364"
"Server47","1","-364"
"Server48","0","-364"
"Server49","0","-364"
"Server50","0","-364"
"Server51","0","-364"
"Server52","0","-364"
"Server53","1","-364"
"Server54","0","-364"
"Server55","1","-364"
"Server56","0","-364"
"Server57","0","-364"
"Server58","0","-364"
"Server59","0","-364"
"Server60","0","-364"
"Server61","0","-364"
"Server62","0","-364"
"Server63","0","-364"
"Server64","0","-364"
"Server65","1","-364"
"Server66","0","-364"
"Server67","0","-364"
"Server68","0","-364"
"Server69","1","-364"
"Server70","0","-364"
"Server71","0","-364"
"Server72","0","-364"
"Server73","0","-364"
"Server74","0","-364"
"Server75","1","-364"
"Server76","0","-364"
"Server77","0","-364"
"Server78","0","-364"
"Server79","0","-364"
"Server80","1","-364"
"Server81","0","-364"
"Server82","0","-364"
"Server83","0","-364"
"Server84","0","-364"
"Server85","0","-364"
"Server86","1","-364"
"Server87","1","-364"
"Server88","0","-364"
"Server89","0","-364"
"Server90","0","-364"
"Server91","0","-364"
"Server92","0","-364"
"Server93","0","-364"
"Server94","0","-364"
"Server95","0","-364"
"Server96","0","-364"
"Server97","0","-364"
"Server98","0","-364"
"Server99","0","-364"
"Server0","1","-363"
"Server1","2","-363"
"Server2","1","-363"
"Server3","1","-363"
"Server4","1","-363"
"Server5","1","-363"
"Server6","1","-363"
"Server7","1","-363"
"Server8","1","-363"
"Server9","1","-363"
"Server10","1","-363"
"Server11","2","-363"
"Server12","1","-363"
"Server13","1","-363"
"Server14","1","-363"
"Server15","1","-363"
"Server16","1","-363"
"Server17","1","-363"
"Server18","1","-363"
"Server19","1","-363"
"Server20","1","-363"
"Server21","1","-363"
"Server22","1","-363"
"Server23","2","-363"
"Server24","1","-363"
"Server25","1","-363"
"Server26","2","-363"
"Server27","2","-363"
"Server28","2","-363"
"Server29","2","-363"
"Server30","1","-363"
"Server31","1","-363"
"Server32","2","-363"
"Server33","1","-363"
"Server34","1","-363"
"Server35","2","-363"
"Server36","1","-363"
"Server37","2","-363"
"Server38","2","-363"
"Server39","1","-363"
