"Source","DateOffset","HotFixID","Description","InstalledBy"
"Server0","-364","MSKB9056163","Update","NT AUTHORITY\SYSTEM"
"Server0","-364","MSKB6235070","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-364","MSKB8546554","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-364","MSKB2286298","Update","NT AUTHORITY\SYSTEM"
"Server0","-364","MSKB7347676","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-364","MSKB4258909","Update","NT AUTHORITY\SYSTEM"
"Server0","-364","MSKB8196792","Update","NT AUTHORITY\SYSTEM"
"Server2","-364","MSKB1267545","Security Update","NT AUTHORITY\SYSTEM"
"Server3","-364","MSKB1746941","Security Update","NT AUTHORITY\SYSTEM"
"Server3","-364","MSKB8674322","Security Update","NT AUTHORITY\SYSTEM"
"Server3","-364","MSKB6761598","Security Update","NT AUTHORITY\SYSTEM"
"Server4","-364","MSKB2492966","Security Update","NT AUTHORITY\SYSTEM"
"Server4","-364","MSKB3893691","Update","NT AUTHORITY\SYSTEM"
"Server4","-364","MSKB7857837","Update","NT AUTHORITY\SYSTEM"
"Server4","-364","MSKB7554889","Update","NT AUTHORITY\SYSTEM"
"Server5","-364","MSKB7753705","Security Update","NT AUTHORITY\SYSTEM"
"Server5","-364","MSKB1966546","Security Update","NT AUTHORITY\SYSTEM"
"Server5","-364","MSKB7430290","Update","NT AUTHORITY\SYSTEM"
"Server5","-364","MSKB2953934","Update","NT AUTHORITY\SYSTEM"
"Server5","-364","MSKB1711877","Security Update","NT AUTHORITY\SYSTEM"
"Server5","-364","MSKB8998357","Security Update","NT AUTHORITY\SYSTEM"
"Server6","-364","MSKB8795970","Update","NT AUTHORITY\SYSTEM"
"Server6","-364","MSKB2798872","Update","NT AUTHORITY\SYSTEM"
"Server7","-364","MSKB9966031","Security Update","NT AUTHORITY\SYSTEM"
"Server7","-364","MSKB8047851","Security Update","NT AUTHORITY\SYSTEM"
"Server7","-364","MSKB1101323","Security Update","NT AUTHORITY\SYSTEM"
"Server7","-364","MSKB9594910","Update","NT AUTHORITY\SYSTEM"
"Server7","-364","MSKB3852194","Security Update","NT AUTHORITY\SYSTEM"
"Server7","-364","MSKB5330531","Update","NT AUTHORITY\SYSTEM"
"Server7","-364","MSKB3349747","Update","NT AUTHORITY\SYSTEM"
"Server8","-364","MSKB3385650","Security Update","NT AUTHORITY\SYSTEM"
"Server8","-364","MSKB5172330","Update","NT AUTHORITY\SYSTEM"
"Server8","-364","MSKB2617170","Security Update","NT AUTHORITY\SYSTEM"
"Server8","-364","MSKB6858198","Security Update","NT AUTHORITY\SYSTEM"
"Server8","-364","MSKB7657236","Security Update","NT AUTHORITY\SYSTEM"
"Server8","-364","MSKB4855783","Update","NT AUTHORITY\SYSTEM"
"Server9","-364","MSKB8374552","Update","NT AUTHORITY\SYSTEM"
"Server9","-364","MSKB4721706","Update","NT AUTHORITY\SYSTEM"
"Server9","-364","MSKB5912794","Update","NT AUTHORITY\SYSTEM"
"Server9","-364","MSKB3190105","Security Update","NT AUTHORITY\SYSTEM"
"Server9","-364","MSKB7845402","Update","NT AUTHORITY\SYSTEM"
"Server9","-364","MSKB7891646","Security Update","NT AUTHORITY\SYSTEM"
"Server10","-364","MSKB1322827","Update","NT AUTHORITY\SYSTEM"
"Server10","-364","MSKB7216438","Security Update","NT AUTHORITY\SYSTEM"
"Server10","-364","MSKB8577644","Security Update","NT AUTHORITY\SYSTEM"
"Server12","-364","MSKB2493214","Security Update","NT AUTHORITY\SYSTEM"
"Server12","-364","MSKB1653220","Security Update","NT AUTHORITY\SYSTEM"
"Server13","-364","MSKB6122143","Security Update","NT AUTHORITY\SYSTEM"
"Server13","-364","MSKB2677639","Security Update","NT AUTHORITY\SYSTEM"
