"Source","InstalledOn","Description","InstalledBy"
"Server0","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server0","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server0","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server0","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server0","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server0","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server0","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server2","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server3","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server3","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server3","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server4","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server4","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server4","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server4","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server6","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server6","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
